Наименование вакансии,Минимальная зарплата,Максимальная зарплата,Валюта,Ссылка на вакансию
"Программист Python",100000.0,None,руб.,https://hh.ru/vacancy/48066727
"Руководитель разработки платформы (Python)",250000.0,320000.0,руб.,https://hh.ru/vacancy/47938157
"Senior/Middle backend-разработчик (Python, Django)",180000.0,250000.0,руб.,https://hh.ru/vacancy/43298031
"Python backend developer (middle)",None,None,None,https://hh.ru/vacancy/47102211
"QA automation engineer (Python)",None,None,None,https://hh.ru/vacancy/47935959
"Инженер-разработчик (программист Python)",None,None,None,https://hh.ru/vacancy/46447886
"Python Backend Developer / WEB - разработчик",185000.0,None,руб.,https://hh.ru/vacancy/46123925
"Технический лид автоматических тестов GUI (Python, Squish)",4000.0,None,USD,https://hh.ru/vacancy/45657026
"Machine Learning Engineer",200000.0,350000.0,руб.,https://hh.ru/vacancy/47870154
"Python Developer/DevOps",None,None,None,https://hh.ru/vacancy/48479694
"Data Scientist/ NLP Data Scientist",None,None,None,https://hh.ru/vacancy/47888208
"Преподаватель на курс "Основы Django Framework" (Python Django developer)",None,None,None,https://hh.ru/vacancy/48581593
"Senior data scientist",None,None,None,https://hh.ru/vacancy/48127855
"Middle Python developer",None,None,None,https://hh.ru/vacancy/48176706
"Python разработчик Middle",None,None,None,https://hh.ru/vacancy/40657939
"Разработчик ботов (Python & JS)",None,None,None,https://hh.ru/vacancy/47604314
"Python Developer (World of Tanks)",None,None,None,https://hh.ru/vacancy/47146423
"Machine Learning Engineer",None,None,None,https://hh.ru/vacancy/48219689
"QA инженер (Python)",None,None,None,https://hh.ru/vacancy/48489811
"Senior Python Developer",None,None,None,https://hh.ru/vacancy/46298925
"Data Scientist (Senior)",None,400000.0,руб.,https://hh.ru/vacancy/48481600
"QA Automation Engineer (Python) / MS-1",None,None,None,https://hh.ru/vacancy/48297925
"Computer Vision Data Scientist/Data Scientist",None,None,None,https://hh.ru/vacancy/48502304
"Senior Data Scientist (ESG)",180000.0,400000.0,руб.,https://hh.ru/vacancy/48501407
